case_id,activity_id,time_stamp,time_stamp_out,product_id
48,24,2023-09-24 14:40:35,2023-09-24 14:45:35,48
49,37,2023-09-24 11:24:35,2023-09-24 11:43:35,49
49,14,2023-09-24 11:43:35,2023-09-24 13:08:35,49
49,9,2023-09-24 13:08:35,2023-09-24 13:25:35,49
49,22,2023-09-24 13:25:35,2023-09-24 13:31:35,49
49,4,2023-09-24 13:31:35,2023-09-24 13:59:35,49
49,35,2023-09-24 13:59:35,2023-09-24 14:34:35,49
49,10,2023-09-24 14:34:35,2023-09-24 15:11:35,49
49,24,2023-09-24 15:11:35,2023-09-24 15:19:35,49
50,11,2023-09-24 11:26:35,2023-09-24 11:49:35,50
50,38,2023-09-24 11:49:35,2023-09-24 12:47:35,50
50,2,2023-09-24 12:47:35,2023-09-24 12:58:35,50
50,3,2023-09-24 12:58:35,2023-09-24 13:13:35,50
50,4,2023-09-24 13:13:35,2023-09-24 13:51:35,50
50,23,2023-09-24 13:51:35,2023-09-24 14:03:35,50
50,10,2023-09-24 14:03:35,2023-09-24 14:33:35,50
50,7,2023-09-24 14:33:35,2023-09-24 14:43:35,50
51,37,2023-09-24 11:28:35,2023-09-24 11:49:35,51
51,27,2023-09-24 11:49:35,2023-09-24 13:03:35,51
51,2,2023-09-24 13:03:35,2023-09-24 13:39:35,51
51,3,2023-09-24 13:39:35,2023-09-24 13:51:35,51
51,29,2023-09-24 13:51:35,2023-09-24 14:34:35,51
51,13,2023-09-24 14:34:35,2023-09-24 15:10:35,51
51,31,2023-09-24 15:10:35,2023-09-24 15:35:35,51
51,24,2023-09-24 15:35:35,2023-09-24 15:46:35,51
52,37,2023-09-24 11:33:35,2023-09-24 11:56:35,52
52,19,2023-09-24 11:56:35,2023-09-24 13:45:35,52
52,9,2023-09-24 13:45:35,2023-09-24 13:53:35,52
52,3,2023-09-24 13:53:35,2023-09-24 14:02:35,52
52,4,2023-09-24 14:02:35,2023-09-24 14:17:35,52
52,13,2023-09-24 14:17:35,2023-09-24 14:27:35,52
52,31,2023-09-24 14:27:35,2023-09-24 14:49:35,52
52,7,2023-09-24 14:49:35,2023-09-24 15:06:35,52
53,11,2023-09-24 11:34:35,2023-09-24 11:57:35,53
53,27,2023-09-24 11:57:35,2023-09-24 13:21:35,53
53,8,2023-09-24 13:21:35,2023-09-24 14:07:35,53
53,3,2023-09-24 14:07:35,2023-09-24 14:19:35,53
53,4,2023-09-24 14:19:35,2023-09-24 14:27:35,53
53,5,2023-09-24 14:27:35,2023-09-24 14:38:35,53
53,6,2023-09-24 14:38:35,2023-09-24 15:30:35,53
53,24,2023-09-24 15:30:35,2023-09-24 15:35:35,53
54,37,2023-09-24 11:44:35,2023-09-24 12:14:35,54
54,14,2023-09-24 12:14:35,2023-09-24 14:25:35,54
54,9,2023-09-24 14:25:35,2023-09-24 14:53:35,54
54,3,2023-09-24 14:53:35,2023-09-24 15:08:35,54
54,12,2023-09-24 15:08:35,2023-09-24 15:29:35,54
54,17,2023-09-24 15:29:35,2023-09-24 15:58:35,54
54,31,2023-09-24 15:58:35,2023-09-24 16:21:35,54
